,Food code,Main food description,WWEIA Category description,Ingredient description
6505,27311605,"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",Meat mixed dishes,"Beef  round  top round steak  separable lean and fat  trimmed to 1/8"" fat  all grades  cooked  broiled"
6506,27311605,"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",Meat mixed dishes,Gravy  chicken  canned or bottled  ready-to-serve
6507,27311605,"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",Meat mixed dishes,Potatoes  boiled  cooked without skin  flesh  without salt
6508,27311605,"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",Meat mixed dishes,Corn  sweet  yellow  frozen  kernels cut off cob  boiled  drained  without salt
6509,27311605,"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",Meat mixed dishes,Beans  snap  green  frozen  cooked  boiled  drained without salt
6510,27311605,"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",Meat mixed dishes,Vegetable oil  NFS
6511,27311605,"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",Meat mixed dishes,Salt  table  iodized
6512,27311610,"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce",Meat mixed dishes,"Beef  round  top round steak  separable lean and fat  trimmed to 1/8"" fat  all grades  cooked  broiled"
6513,27311610,"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce",Meat mixed dishes,Soup  cream of mushroom  canned  condensed
6514,27311610,"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce",Meat mixed dishes,Milk  NFS
6515,27311610,"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce",Meat mixed dishes,Potatoes  boiled  cooked without skin  flesh  without salt
6516,27311610,"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce",Meat mixed dishes,Carrots  frozen  cooked  boiled  drained  without salt
6517,27311610,"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce",Meat mixed dishes,Broccoli  frozen  chopped  cooked  boiled  drained  without salt
6518,27311610,"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce",Meat mixed dishes,Vegetable oil  NFS
6519,27311610,"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce",Meat mixed dishes,Salt  table  iodized
6520,27311620,"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cream sauce, white sauce, or mushroom sauce",Meat mixed dishes,"Beef  round  top round steak  separable lean and fat  trimmed to 1/8"" fat  all grades  cooked  broiled"
6521,27311620,"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cream sauce, white sauce, or mushroom sauce",Meat mixed dishes,Soup  cream of mushroom  canned  condensed
6522,27311620,"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cream sauce, white sauce, or mushroom sauce",Meat mixed dishes,Milk  NFS
6523,27311620,"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cream sauce, white sauce, or mushroom sauce",Meat mixed dishes,Potatoes  boiled  cooked without skin  flesh  without salt
6524,27311620,"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cream sauce, white sauce, or mushroom sauce",Meat mixed dishes,Corn  sweet  yellow  frozen  kernels cut off cob  boiled  drained  without salt
6525,27311620,"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cream sauce, white sauce, or mushroom sauce",Meat mixed dishes,Beans  snap  green  frozen  cooked  boiled  drained without salt
6526,27311620,"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cream sauce, white sauce, or mushroom sauce",Meat mixed dishes,Vegetable oil  NFS
6527,27311620,"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cream sauce, white sauce, or mushroom sauce",Meat mixed dishes,Salt  table  iodized
6528,27311625,"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",Meat mixed dishes,"Beef  round  top round steak  separable lean and fat  trimmed to 1/8"" fat  all grades  cooked  broiled"
6529,27311625,"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",Meat mixed dishes,Tomato products  canned  sauce
