ingredient,food_description,ingredient_iD,carbs,cholesterol,fiber,calories,protein,sugar,monosaturated_fat,polysaturated_fat,saturated_fat,sodium
CAMPBELL SOUP,"CAMPBELL SOUP,HEALTHY REQUEST,HOMESTYL CHICK NOODLE,COND",6989,6.35,8,0.800000012,48,2.38,0.790000021,0.794,0.397,0.397,381
CAMPBELL SOUP COMPANY,"CAMPBELL SOUP COMPANY,HEALTHY REQUEST,MINESTRONE SOUP,COND",6990,12.5,0,2.5,67,2.5,3.329999924,0.0,0.0,0.0,383
CAMPBELL SOUP COMPANY,"CAMPBELL SOUP COMPANY,HEALTHY REQUEST,TOMATO SOUP,COND",6991,13.71,0,0.800000012,73,1.61,8.06000042,0.0,0.0,0.403,379
CAMPBELL SOUP COMPANY,"CAMPBELL SOUP COMPANY,HEALTHY REQUEST,VEG SOUP,COND",6992,15.08,0,2.400000095,79,3.17,3.970000029,0.0,0.0,0.0,381
CAMPBELL SOUP,"CAMPBELL SOUP,PREGO PASTA,CHUNKY GARDEN COMB ITALIAN SAU,RTS",6994,13.08,0,2.299999952,69,1.54,7.690000057,0.0,0.0,0.385,362
CAMPBELL,"CAMPBELL,PREGO PASTA,CHNKY GRDN TMTO,ON & GRLIC ITAL SAU,RTS",6995,10.4,0,2.400000095,72,1.6,8.0,0.0,0.0,0.4,376
CAMPBELL SOUP COMPANY,"CAMPBELL SOUP COMPANY,CAMPBELL'S AU JUS GRAVY",6996,0.0,0,0.0,8,1.69,0.0,0.0,0.0,0.0,390
CAMPBELL SOUP COMPANY,"CAMPBELL SOUP COMPANY,CAMPBELL'S BF GRAVY",6997,5.08,8,0.0,42,1.69,1.690000057,0.0,0.0,0.847,458
CAMPBELL SOUP COMPANY,"CAMPBELL SOUP COMPANY,CAMPBELL'S BROWN GRAVY W/ ONIONS",6998,6.78,0,0.0,42,0.0,3.390000105,0.0,0.0,0.0,559
CAMPBELL SOUP COMPANY,"CAMPBELL SOUP COMPANY,CAMPBELL'S CHICK GRAVY",6999,5.08,8,0.0,68,0.0,1.690000057,0.0,0.0,1.695,441
