,0
1536,653201
1537,653202
1538,661395
1539,661397
1540,636830
1541,661417
1542,661421
1543,661433
1544,653251
1545,645060
1546,661447
1547,636874
1548,645068
1549,653275
1550,1062882
1551,645092
1552,636901
1553,661480
1554,645126
1555,661510
1556,653322
1557,792587
1558,661522
1559,645146
1560,636954
1561,661533
1562,645152
1563,1095713
1564,636961
1565,636963
1566,1095712
1567,661544
1568,653353
1569,645175
1570,1095737
1571,653371
1572,636989
1573,636992
1574,661570
1575,1095774
1576,661602
1577,645226
1578,1095790
1579,710766
1580,1095797
1581,1095800
1582,1095802
1583,1095804
1584,661629
1585,1095805
1586,1095808
1587,653442
1588,637061
1589,637062
1590,661638
1591,637067
1592,661645
1593,653455
1594,661653
1595,1095842
1596,661669
1597,637095
1598,1095849
1599,659058
1600,661689
1601,653500
1602,645354
1603,637162
1604,637165
1605,661741
1606,645365
1607,637178
1608,661757
1609,637184
1610,653570
1611,637186
1612,661765
1613,645384
1614,661771
1615,645395
1616,637218
1617,637222
1618,1095975
1619,645416
1620,645419
1621,645427
1622,776505
1623,645443
1624,1096005
1625,661833
1626,1096010
1627,1096017
1628,637265
1629,637276
1630,637283
1631,661862
1632,645479
1633,661864
1634,637290
1635,653687
1636,661880
1637,661883
1638,661886
1639,661889
1640,645514
1641,645516
1642,637325
1643,637326
1644,661904
1645,637335
1646,661912
1647,637340
1648,653728
1649,661925
1650,1497523
1651,661948
1652,1046982
1653,637389
1654,653775
1655,661967
1656,645598
1657,661984
1658,645607
1659,637426
1660,637435
1661,637440
1662,653824
1663,31237
1664,1161745
1665,1161746
1666,645651
1667,637475
1668,637477
1669,645671
1670,637480
1671,637482
1672,637488
1673,1096243
1674,662069
1675,653882
1676,645696
1677,645697
1678,637506
1679,662087
1680,645704
1681,637513
1682,645706
1683,637515
1684,735820
1685,1096266
1686,645710
1687,645711
1688,637520
1689,645707
1690,662100
1691,1096278
1692,653910
1693,645722
1694,645735
1695,1096300
1696,645742
1697,645753
1698,653949
1699,653951
1700,637569
1701,1096322
1702,653955
1703,662150
1704,645802
1705,1047219
1706,637624
1707,645818
1708,645825
1709,645833
1710,637643
1711,654028
1712,637645
1713,637646
1714,662222
1715,1178323
1716,662231
1717,645856
1718,637671
1719,637683
1720,654070
1721,662263
1722,654072
1723,662266
1724,662271
1725,662276
1726,637705
1727,768778
1728,654096
1729,654115
1730,654120
1731,654124
1732,637744
1733,637767
1734,645978
1735,662363
1736,654173
1737,637792
1738,654181
1739,637797
1740,662376
1741,637801
1742,637811
1743,1055614
1744,654212
