,Spoonacular Recipe ID,Recipe,Recipe Sodium,Recipe Sugar
384,632118,Almond Cranberry Cookies,41mg,1g
385,632118,Almond Cranberry Cookies,41mg,1g
386,632118,Almond Cranberry Cookies,41mg,1g
387,632118,Almond Cranberry Cookies,41mg,1g
388,632118,Almond Cranberry Cookies,41mg,1g
389,632118,Almond Cranberry Cookies,41mg,1g
390,632118,Almond Cranberry Cookies,41mg,1g
391,632118,Almond Cranberry Cookies,41mg,1g
392,632118,Almond Cranberry Cookies,41mg,1g
393,632118,Almond Cranberry Cookies,41mg,1g
394,632118,Almond Cranberry Cookies,41mg,1g
395,632118,Almond Cranberry Cookies,41mg,1g
396,632118,Almond Cranberry Cookies,41mg,1g
397,632118,Almond Cranberry Cookies,41mg,1g
398,632118,Almond Cranberry Cookies,41mg,1g
399,632118,Almond Cranberry Cookies,41mg,1g
400,632118,Almond Cranberry Cookies,41mg,1g
401,632118,Almond Cranberry Cookies,41mg,1g
402,632118,Almond Cranberry Cookies,41mg,1g
403,632118,Almond Cranberry Cookies,41mg,1g
404,632118,Almond Cranberry Cookies,41mg,1g
405,632118,Almond Cranberry Cookies,41mg,1g
406,632118,Almond Cranberry Cookies,41mg,1g
407,632118,Almond Cranberry Cookies,41mg,1g
408,632118,Almond Cranberry Cookies,41mg,1g
409,632118,Almond Cranberry Cookies,41mg,1g
410,632118,Almond Cranberry Cookies,41mg,1g
411,632118,Almond Cranberry Cookies,41mg,1g
412,632118,Almond Cranberry Cookies,41mg,1g
413,632118,Almond Cranberry Cookies,41mg,1g
414,632118,Almond Cranberry Cookies,41mg,1g
415,632118,Almond Cranberry Cookies,41mg,1g
416,632118,Almond Cranberry Cookies,41mg,1g
417,632118,Almond Cranberry Cookies,41mg,1g
418,632118,Almond Cranberry Cookies,41mg,1g
419,632118,Almond Cranberry Cookies,41mg,1g
420,632118,Almond Cranberry Cookies,41mg,1g
421,632118,Almond Cranberry Cookies,41mg,1g
422,632118,Almond Cranberry Cookies,41mg,1g
423,632118,Almond Cranberry Cookies,41mg,1g
424,632118,Almond Cranberry Cookies,41mg,1g
425,632118,Almond Cranberry Cookies,41mg,1g
426,632118,Almond Cranberry Cookies,41mg,1g
427,632118,Almond Cranberry Cookies,41mg,1g
428,632118,Almond Cranberry Cookies,41mg,1g
429,632118,Almond Cranberry Cookies,41mg,1g
