,Spoonacular Recipe ID,Recipe,Recipe Image URL,Recipe Image Type,Recipe Calories,Recipe Protein Content (grams),Recipe Fat Content (grams),Recipe Carbs Content (grams)
110,652864,My Grandmother's Migas,https://spoonacular.com/recipeImages/652864-312x231.jpg,jpg,40,2g,2g,3g
111,662558,Sweet Potato Bars,https://spoonacular.com/recipeImages/662558-312x231.jpg,jpg,116,4g,3g,19g
112,1697801,Scaloppine al Limone,https://spoonacular.com/recipeImages/1697801-312x231.jpg,jpg,137,9g,10g,2g
113,634898,Best Chocolate Chip Cookies,https://spoonacular.com/recipeImages/634898-312x231.jpg,jpg,160,2g,6g,25g
114,1098301,Slow Braised Red Wine Lamb Stew with Moroccan Spices,https://spoonacular.com/recipeImages/1098301-312x231.jpg,jpg,587,42g,15g,65g
115,652061,Miso Cream Pasta,https://spoonacular.com/recipeImages/652061-312x231.jpg,jpg,521,16g,23g,66g
116,645514,Green Salad With Fresh Orange Juice Dressing,https://spoonacular.com/recipeImages/645514-312x231.jpg,jpg,545,12g,34g,57g
117,633523,Baked Chicken Cordon Bleu,https://spoonacular.com/recipeImages/633523-312x231.jpg,jpg,500,59g,19g,21g
118,644109,Fusion Chicken Stew,https://spoonacular.com/recipeImages/644109-312x231.jpg,jpg,919,49g,56g,38g
119,658657,Roasted Root Vegetable Galette with Chèvre and Thyme,https://spoonacular.com/recipeImages/658657-312x231.jpg,jpg,333,4g,21g,34g
120,660843,Spanakopita (Greek Spinach Pie),https://spoonacular.com/recipeImages/660843-312x231.jpg,jpg,741,25g,53g,44g
121,664011,Turkey Burgers,https://spoonacular.com/recipeImages/664011-312x231.jpg,jpg,201,30g,4g,11g
122,644488,German Rhubarb Cake with Meringue,https://spoonacular.com/recipeImages/644488-312x231.jpg,jpg,212,5g,4g,39g
123,640612,Creamy Cheesy Ham Tomato Sauce,https://spoonacular.com/recipeImages/640612-312x231.jpg,jpg,678,32g,54g,10g
124,640683,Creamy Potato Cheese Soup,https://spoonacular.com/recipeImages/640683-312x231.jpg,jpg,238,11g,13g,20g
125,643808,Fried Stuffed Wontons with Healthy Dark Chocolate,https://spoonacular.com/recipeImages/643808-312x231.jpg,jpg,313,8g,24g,20g
126,642878,Finger Lickin' Good Stewed Quince Dessert,https://spoonacular.com/recipeImages/642878-312x231.jpg,jpg,190,1g,7g,33g
127,652760,Mussels in Irish Ale,https://spoonacular.com/recipeImages/652760-312x231.jpg,jpg,286,11g,20g,10g
128,661544,Steamed Artichokes With Roasted Red Pepper Aioli,https://spoonacular.com/recipeImages/661544-312x231.jpg,jpg,170,7g,10g,18g
129,649504,Lemon and Strawberry Loaf,https://spoonacular.com/recipeImages/649504-312x231.jpg,jpg,320,5g,15g,42g
130,659480,Savory Oats,https://spoonacular.com/recipeImages/659480-312x231.jpg,jpg,429,24g,19g,41g
131,658585,Roasted Fish Bruschetta,https://spoonacular.com/recipeImages/658585-312x231.jpg,jpg,176,3g,15g,9g
132,993462,Captain America Shield Cookies,https://spoonacular.com/recipeImages/993462-312x231.jpg,jpg,314,3g,13g,45g
133,634727,"Beef, Poblano & Cheese Tamales",https://spoonacular.com/recipeImages/634727-312x231.jpg,jpg,397,22g,31g,9g
134,651675,Mexican Potato Salad,https://spoonacular.com/recipeImages/651675-312x231.jpg,jpg,244,8g,14g,24g
135,661570,Steamed Halibut,https://spoonacular.com/recipeImages/661570-312x231.jpg,jpg,233,44g,5g,2g
136,649000,Kofat Curry/meat Ball Curry,https://spoonacular.com/recipeImages/649000-312x231.jpg,jpg,270,37g,9g,8g
137,648430,Jambalaya Soup,https://spoonacular.com/recipeImages/648430-312x231.jpg,jpg,557,39g,34g,22g
138,634054,Banana Chocolate Walnut Cake,https://spoonacular.com/recipeImages/634054-312x231.jpg,jpg,1075,19g,63g,112g
139,635907,Brandy-Apple Mini Pies With Cornmeal Crust,https://spoonacular.com/recipeImages/635907-312x231.jpg,jpg,260,2g,15g,30g
140,635468,Blueberry Crumble Tart with Cream Cheese Whipped Cream,https://spoonacular.com/recipeImages/635468-312x231.jpg,jpg,347,4g,19g,44g
141,715631,Fresh Lemon Curd,https://spoonacular.com/recipeImages/715631-312x231.jpg,jpg,568,11g,34g,61g
142,715422,Summer Popsicle Series – Strawberry,https://spoonacular.com/recipeImages/715422-312x231.jpg,jpg,166,5g,1g,36g
143,1697577,Spanish Sardines Pasta,https://spoonacular.com/recipeImages/1697577-312x231.jpg,jpg,45,1g,1g,7g
144,715455,Homemade Pecan Pie,https://spoonacular.com/recipeImages/715455-312x231.jpg,jpg,446,5g,19g,67g
145,651184,Masala Raisin Chicken,https://spoonacular.com/recipeImages/651184-312x231.jpg,jpg,319,13g,25g,13g
146,636066,Breakfast Pretzels,https://spoonacular.com/recipeImages/636066-312x231.jpg,jpg,66,1g,3g,9g
147,1056442,How to Make an Amazing Bacon Wrapped Stuffed Chicken Breast,https://spoonacular.com/recipeImages/1056442-312x231.jpg,jpg,594,38g,47g,2g
148,648516,Jasmine Cocktail,https://spoonacular.com/recipeImages/648516-312x231.jpg,jpg,122,0g,0g,3g
149,633547,Baked Cinnamon Apple Slices,https://spoonacular.com/recipeImages/633547-312x231.jpg,jpg,104,1g,0g,28g
150,633837,Baked Sweet Potato Fries,https://spoonacular.com/recipeImages/633837-312x231.jpg,jpg,496,7g,12g,92g
151,641238,Danish Kringle,https://spoonacular.com/recipeImages/641238-312x231.jpg,jpg,257,3g,12g,35g
152,649768,Lemon Rosemary Risotto,https://spoonacular.com/recipeImages/649768-312x231.jpg,jpg,538,12g,21g,71g
153,665257,Whole Grain Pumpkin Bread,https://spoonacular.com/recipeImages/665257-312x231.jpg,jpg,182,5g,3g,38g
154,653068,New Waldorf Salad,https://spoonacular.com/recipeImages/653068-312x231.jpg,jpg,187,3g,11g,24g
155,634026,Banana Cake With Caramel Icing,https://spoonacular.com/recipeImages/634026-312x231.jpg,jpg,439,5g,16g,71g
156,658638,Roasted Radish and Carrot Medley,https://spoonacular.com/recipeImages/658638-312x231.jpg,jpg,77,0g,7g,4g
157,651832,Middle Eastern Stuffed Lentil Zatar Bread,https://spoonacular.com/recipeImages/651832-312x231.jpg,jpg,471,18g,4g,88g
158,651034,Marinated Flat Iron Steak,https://spoonacular.com/recipeImages/651034-312x231.jpg,jpg,695,44g,54g,8g
159,637876,Chicken 65,https://spoonacular.com/recipeImages/637876-312x231.jpg,jpg,113,18g,3g,1g
160,662463,Sweet and Spicy Country-Style Ribs,https://spoonacular.com/recipeImages/662463-312x231.jpg,jpg,485,24g,20g,54g
161,661117,Spicy Korean Bbq Pork,https://spoonacular.com/recipeImages/661117-312x231.jpg,jpg,157,21g,5g,7g
162,654516,Pandan Thumbprint Biscuits,https://spoonacular.com/recipeImages/654516-312x231.jpg,jpg,189,2g,12g,23g
163,638626,Chimichurri Skirt Steak with Grilled Asparagus,https://spoonacular.com/recipeImages/638626-312x231.jpg,jpg,410,27g,30g,12g
164,641060,Curried Cabbage & Kale Gratin,https://spoonacular.com/recipeImages/641060-312x231.jpg,jpg,278,13g,17g,19g
165,655740,Classic Apple Pie with Perfect Crust,https://spoonacular.com/recipeImages/655740-312x231.jpg,jpg,587,6g,31g,75g
166,658823,Rosewater Lavender Shortbread,https://spoonacular.com/recipeImages/658823-312x231.jpg,jpg,133,1g,7g,17g
167,655926,Pickled Asian Ginger Salad,https://spoonacular.com/recipeImages/655926-312x231.jpg,jpg,177,2g,5g,31g
168,658151,Refreshing Zucchini and Potatoes,https://spoonacular.com/recipeImages/658151-312x231.jpg,jpg,331,4g,29g,17g
169,653047,New Moon - Blueberry Cheesecake,https://spoonacular.com/recipeImages/653047-312x231.jpg,jpg,455,9g,18g,65g
170,631879,5 Minute Xocai Chocolate Mug Cake,https://spoonacular.com/recipeImages/631879-312x231.jpg,jpg,362,10g,15g,49g
171,713675,St. Patricks Day Crispy Treat,https://spoonacular.com/recipeImages/713675-312x231.jpg,jpg,546,4g,12g,109g
172,640612,Creamy Cheesy Ham Tomato Sauce,https://spoonacular.com/recipeImages/640612-312x231.jpg,jpg,678,32g,54g,10g
173,663169,Thai Veggie Slaw with Peanut Dressing and Crispy Wontons,https://spoonacular.com/recipeImages/663169-312x231.jpg,jpg,432,11g,32g,31g
174,640588,Creamy Apple Cinnamon Pockets,https://spoonacular.com/recipeImages/640588-312x231.jpg,jpg,305,4g,18g,34g
175,636812,California Wild Rice & Beef Cabbage Wrap With Crunchy Ricotta Cheese,https://spoonacular.com/recipeImages/636812-312x231.jpg,jpg,200,11g,10g,18g
176,647224,Honey Glazed Dumsticks,https://spoonacular.com/recipeImages/647224-312x231.jpg,jpg,558,36g,20g,59g
